Device:	rrqm/s	wrqm/s	r/s	w/s	rkB/s	wkB/s	avgrq-sz	avgqu-sz	await	r_await	w_await	svctm	%util
sda	0	0	149	0	4160	0	55.84	0.68	4.54	4.54	0	2.01	30
sda	0	9	145	2	3760	44	51.76	0.46	3.13	3.01	12	1.71	25.2
sda	0	1	124	14	3504	76	51.88	0.45	3.28	3.65	0	1.77	24.4
sda	0	0	65	0	2064	0	63.51	0.44	6.77	6.77	0	2.71	17.6
sda	0	0	4	0	272	0	136	0	1	1	0	1	0.4
sda	0	0	112	0	3872	0	69.14	0.43	3.86	3.86	0	1.86	20.8
sda	0	10	123	2	3952	48	64	0.77	6.14	5.95	18	2.91	36.4
sda	0	0	109	0	3408	0	62.53	0.54	4.88	4.88	0	1.87	20.4
sda	0	0	104	0	3088	0	59.38	0.43	4.15	4.15	0	2	20.8
sda	0	0	79	0	2480	0	62.78	0.38	4.71	4.71	0	2.23	17.6
sda	0	0	81	0	2608	0	64.4	0.29	3.65	3.65	0	1.78	14.4
sda	0	2	106	2	3152	16	58.67	0.64	5.89	5.55	24	2.63	28.4
sda	0	0	72	0	2400	0	66.67	0.35	4.39	4.39	0	2.33	16.8
sda	0	0	107	0	4656	0	87.03	0.41	4.19	4.19	0	1.94	20.8
sda	0	0	74	0	2592	0	70.05	0.25	3.41	3.41	0	2	14.8
sda	0	0	57	0	1664	0	58.39	0.22	3.79	3.79	0	2.04	11.6
sda	0	0	87	0	3104	0	71.36	0.55	6.34	6.34	0	2.57	22.4
sda	0	2	81	2	3600	16	87.13	0.37	4.43	3.85	28	2.51	20.8
sda	0	0	66	0	2128	0	64.48	0.86	13.03	13.03	0	3.39	22.4
sda	0	0	71	0	1856	0	52.28	0.51	7.21	7.21	0	3.32	23.6
sda	0	0	61	0	1920	0	62.95	0.24	4	4	0	2.36	14.4
sda	0	0	79	0	2096	0	53.06	0.18	2.23	2.23	0	1.62	12.8
sda	0	2	59	2	1376	16	45.64	0.26	4.2	4	10	2.95	18
sda	0	0	68	0	1728	0	50.82	0.3	4.47	4.47	0	2.35	16
sda	0	0	64	0	1472	0	46	0.12	1.81	1.81	0	1.69	10.8
sda	0	0	70	0	2304	0	65.83	0.24	3.49	3.49	0	2.51	17.6
sda	0	0	51	0	1472	0	57.73	0.15	2.98	2.98	0	2.2	11.2
sda	0	2	81	2	2336	16	56.67	0.49	5.88	5.38	26	3.33	27.6
sda	0	0	152	0	3664	0	48.21	0.81	5.34	5.34	0	2.34	35.6
sda	0	0	148	0	4368	0	59.03	0.8	5.41	5.41	0	2.03	30
sda	0	0	180	0	5680	0	63.11	0.88	4.89	4.89	0	2.27	40.8
sda	0	0	124	0	4096	0	66.06	0.59	4.74	4.74	0	2.26	28
sda	0	3	151	3	4176	40	54.75	0.88	5.66	5.56	10.67	2.7	41.6
sda	0	0	175	0	4816	0	55.04	1.86	10.65	10.65	0	2.9	50.8
sda	0	0	129	0	4288	0	66.48	0.55	4.25	4.25	0	2.17	28
sda	0	0	106	0	3232	0	60.98	0.3	2.87	2.87	0	1.85	19.6
sda	0	0	114	0	2912	0	51.09	0.48	4.18	4.18	0	2.67	30.4
sda	0	0	103	12	3360	64	59.55	0.54	4.73	5.28	0	2.75	31.6
sda	0	10	97	2	3104	48	63.68	0.35	3.56	3.38	12	2.22	22
sda	0	0	98	0	3264	0	66.61	0.26	2.65	2.65	0	1.76	17.2
sda	0	0	81	0	2144	0	52.94	0.41	5.04	5.04	0	2.57	20.8
sda	0	0	74	0	2256	0	60.97	0.42	5.73	5.73	0	3.24	24
sda	0	0	138	0	3116	0	45.16	0.79	5.68	5.68	0	2.67	36.8
sda	0	10	87	2	2448	48	56.09	0.56	6.38	6.07	20	3.42	30.4
sda	0	0	92	0	2416	0	52.52	0.22	2.43	2.43	0	1.61	14.8
sda	0	0	127	0	2584	0	40.69	0.99	7.81	7.81	0	2.02	25.6
sda	0	0	101	0	2720	0	53.86	0.34	3.37	3.37	0	1.98	20
sda	0	0	119	0	3616	0	60.77	0.4	3.43	3.43	0	2.05	24.4
sda	0	9	58	2	2032	44	69.2	0.18	3	2.62	14	2.2	13.2
sda	0	0	112	0	3728	0	66.57	0.39	3.5	3.5	0	1.86	20.8
sda	0	0	78	0	2336	0	59.9	0.26	3.28	3.28	0	2.41	18.8
sda	0	0	84	0	2192	0	52.19	0.23	2.71	2.71	0	2.19	18.4
sda	0	0	68	0	2000	0	58.82	0.26	3.82	3.82	0	2.29	15.6
